Stocks,Category,MachineType,InventoryTypeSH,CategorySH,Year,Make,ManufacturerSH,Model,ModelSH,Hours,Condition,Seller,PurchCity,PurchState,DaggerLocation,DatePurchased,PurchPrice, EstFreight , EstLabor , EstParts , EstSalePrice , EstTotalCost , EstProfit ,DateSold,Buyback, Freight , Labor , Parts , TotalRepairCost , ListingFees , BuybackFee ,TotalFees, TotalCOGS ,SaleType, SalePrice ,Profit,ProfitNoLabor,Turnover,ROI,,Collab,Jared,Dustin,Quinn,Nash,Gifford,Bunde,Chris,Ethan,Wes,Korey,(Numbers added since switching back to individual),Notes,AuctionEnd,ClosingTime
1498,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,John Deere,JOHN DEERE,6430,6430,,,Brinkley Auctions Inc (EF),Idabel,OK,"Dallas, TX",3/22/2022,43160.00,,,,,43160,  ,4/19/2022,,675.00,1000.00,   ,1000.00,822.00,,822.00,45657.00,Auction,44388.00,-1269.00,-269.00,28.00,-0.03,-2.78,1,,,,,,,1,,,,,,,
1499,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,2014,John Deere,JOHN DEERE,4730,4730,,,Diamond W Sales & Auction,Hartford,KS,"Fargo, ND",3/23/2022,92500.00,,,,125000,92500,32500,3/30/2022,,,  ,,,2400.00,,2400.00,94900.00,Retail,120000.00,25100.00,,7.00,0.26,26.45,2,1,,,,,1,,,,,,,,
1500,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,New Holland,NEW HOLLAND,TS130A,TS130A,,,Sullivan Auctioneers,Hamilton,IL,"Fargo, ND",3/22/2022,31500.00,,,,,31500,  ,4/21/2022,,2100.00,724.50,50.00,774.50,834.00,,834.00,35208.50,Auction,45036.00,9827.50,10552.00,30.00,0.28,27.91,1,,,,,,,1,,,,,,,
1501,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,2006,Case IH,CASE IH,STX430S,STX430,,,Ritchie Bros,North East,MD,"Fargo, ND",3/30/2022,27261.00,10000.00,,,50000,37261,12739,10/5/2022,,4500.00,9400.50,546.91,9947.41,1292.00,,1292.00,43000.41,Auction,69768.00,26767.59,36168.09,189.00,0.62,62.25,2,1,,,,,,1,,,,,,,
1502,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,1999,Case,CASE,686GXR,686G XR,,,Ritchie Bros,North East,MD,"Fargo, ND",3/30/2022,22200.00,3000.00,,,,25200,  ,5/4/2022,,3000.00,1005.54,496.56,1502.10,704.00,,704.00,27406.10,Auction,38016.00,10609.90,11615.44,35.00,0.39,38.71,1,,,,,,,1,,,,,,,
1503,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,2006,Caterpillar,CATERPILLAR,TL943,TL943,,,Ritchie Bros,North Franklin,CT,"Fargo, ND",3/30/2022,31000.00,5900.00,,,,36900,  ,4/20/2022,,4300.00,283.58,,283.58,595.00,,595.00,36178.58,Auction,34452.00,-1726.58,-1443.00,21.00,-0.05,-4.77,1,,,,,,,1,,,,,,,
1504,Agriculture,Spreader,Agricultural_Equipment,Chemical Applicators - Fertilizer Applicators - Dry,2011,Rogator,ROGATOR,RG1396,RG1396,,,DPA,Bunn,NC,"Fargo, ND",3/22/2022,13965.00,,,,,13965,  ,5/18/2022,,6800.00,5202.00,776.61,5978.61,595.00,,595.00,27338.61,Auction,35856.00,8517.39,13719.39,57.00,0.31,31.16,3,,,,,1,1,1,,,,,,,
1505,Agriculture,Spreader,Agricultural_Equipment,Chemical Applicators - Fertilizer Applicators - Dry,2007,RBR,RBR ENTERPRISE,Vector 300,VECTOR 300,,,DPA,Statesville,NC,"Fargo, ND",3/23/2022,17010.00,5500.00,1311.00,1042.10,25000,24863.1,136.9,5/4/2022,,5500.00,1311.00,1042.10,2353.10,495.00,,495.00,25358.10,Auction,22248.00,-3110.10,-1799.10,42.00,-0.12,-12.26,2,1,,,,,1,,,,,,,,
1506,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,2010,Ag-Chem,AG-CHEM,Rogator 1184,ROGATOR 1184,,,Steffes,Decora,IA,"Fargo, ND",3/23/2022,58000.00,2200.00,1077.00,   ,,61277,  ,5/10/2022,1,2200.00,1077.00,,1077.00,,1190.00,1190.00,62467.00,Retail ,65000.00,2533.00,3610.00,48.00,0.04,4.05,2,,,,,,1,1,,,,,,,
1507,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2010,Ag-Chem,AG-CHEM,Terragator 9203,TERRAGATOR 9203,,,Butler Machiery Co,Sioux Falls,SD,"Hawley, MN",3/30/2022,16900.00,1250.00,,,28000,18150,9850,4/20/2022,,1250.00,150.00,,150.00,595.00,,595.00,18895.00,Auction,27432.00,8537.00,8687.00,21.00,0.45,45.18,2,1,,,,,1,,,,,,,,
