Stocks,Category,MachineType,InventoryTypeSH,CategorySH,Year,Make,ManufacturerSH,Model,ModelSH,Hours,Condition,Seller,PurchCity,PurchState,DaggerLocation,DatePurchased,PurchPrice, EstFreight , EstLabor , EstParts , EstSalePrice , EstTotalCost , EstProfit ,DateSold,Buyback, Freight , Labor , Parts , TotalRepairCost , ListingFees , BuybackFee ,TotalFees, TotalCOGS ,SaleType, SalePrice ,Profit,ProfitNoLabor,Turnover,ROI,Collab,Jared,Dustin,Quinn,Nash,Gifford,Bunde,Chris,Ethan,Wes,Korey,(Numbers added since switching back to individual),Notes,AuctionEnd,ClosingTime,
1971,Construction,Wheel Loader,Construction_Equipment,Wheel Loaders,2007,Volvo,VOLVO,L90F,L90F,"4,450",,Purple Wave,Houston,TX,"Fargo, ND",12/15/2022,"$24,200.00"," $3,750.00 "," $2,000.00 ", $500.00 ," $47,500.00 "," $30,450.00 "," $17,050.00 ",,,,,,$0.00 ,,,,"$24,200.00",,,,,,,2,,,,,,1,1,,,,,,,,
1972,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,2011,John Deere,JOHN DEERE,9530,9530,"9,606",,Machinery Auctioneers (EF),Tuttle,OK,"Fargo, ND",12/13/2022,"$47,850.00"," $4,500.00 ", $500.00 , $500.00 ," $75,000.00 "," $53,350.00 "," $21,650.00 ",,,,,,$0.00 ,,,,"$47,850.00",,,,$0.00 ,,,1,,,,,,,1,,,,,,,,
1973,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,,Terragator,TERRAGATOR,TG8300,TG8300,"4,096",,Sullivan Auctioneers (HiBid),Boone ,IA,"Fargo, ND",12/14/2022,"$20,250.00"," $1,200.00 ", $500.00 , $500.00 ," $33,000.00 "," $22,450.00 "," $10,550.00 ",,,,,,$0.00 ,,,,"$20,250.00",,,,$0.00 ,,,2,,,,,,1,1,,,,,,,,
1974,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,2020,Duetz Fahr,DEUTZ FAHR,6130,6130,474,,Witcher Auctions (HiBid),Wynne,AR,"Fargo, ND",12/15/2022,"$76,775.50"," $3,000.00 ", $500.00 , $-   ," $90,000.00 "," $80,275.50 "," $9,724.50 ",,,,,,$0.00 ,,,,"$76,775.50",,,,$0.00 ,,,1,1,,,,,,,,,,,,,,
1975,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,John Deere,JOHN DEERE,8200,8200,"6,847",,C.A. Tesch Equipment (EF),Brillion,WI,"Fargo, ND",12/16/2022,"$42,000.00"," $3,000.00 "," $1,000.00 ", $500.00 ," $65,000.00 "," $46,500.00 "," $18,500.00 ",,,,,,$0.00 ,,,,"$42,000.00",,,,$0.00 ,,,1,,,,1,,,,,,,,,,,
1976,Construction,Excavator,Construction_Equipment,Excavators - Crawler,2012,John Deere,DEERE,225d,225D LC,"7,460",,Bar None (HiBid),Woodburn,OR,"Fargo, ND",12/16/2022,"$42,900.00"," $5,000.00 "," $1,000.00 ", $-   ," $60,000.00 "," $48,900.00 "," $11,100.00 ",,,,,,$0.00 ,,,,"$42,900.00",,,,$0.00 ,,,1,1,,,,,,,,,,,,,,
1977,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,John Deere,JOHN DEERE,4960,4960,"12,00",,David Vaughn,Lake Village,AR,"Fargo, ND",12/15/2022,"$18,000.00"," $2,500.00 "," $1,000.00 "," $3,000.00 "," $35,000.00 "," $24,500.00 "," $10,500.00 ",,,,,,$0.00 ,,,,"$18,000.00",,,,$0.00 ,,,1,,,,,,,,,,1,,,,,
1978,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,John Deere,JOHN DEERE,8400,8400,10000,,Double H Farms,Hamburg ,AR,"Fargo, ND",12/15/2022,"$30,000.00"," $2,500.00 ", $500.00 , $-   ," $47,500.00 "," $33,000.00 "," $14,500.00 ",,,,,,$0.00 ,,,,"$30,000.00",,,,$0.00 ,,,1,,,,,,,,,,1,,,,,
1979,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,,John Deere,DEERE,3400,3400,5661,,Lasyone Auctions (EF),Winnfield ,LA,"Fargo, ND",12/17/2022,"$25,080.00"," $4,000.00 ", $500.00 , $500.00 ," $40,000.00 "," $30,080.00 "," $9,920.00 ",,,,,,$0.00 ,,,,"$25,080.00",,,,$0.00 ,,,1,,,,,,,,,,1,,,,,
1980,Construction,Skidder,Construction_Equipment,Forestry Equipment - Skidders,2019,John Deere,DEERE,848LII,848L,,3,Copart,Ringgold,GA,"Fargo, ND",12/19/2022,"$49,758.00"," $6,500.00 "," $10,000.00 "," $10,000.00 "," $140,000.00 "," $76,258.00 "," $63,742.00 ",,,,,,$0.00 ,,,,"$49,758.00",,,,$0.00 ,,,1,1,,,,,,,,,,,,,,
1981,Construction,Wheel Loader,Construction_Equipment,Wheel Loaders,2022,Doosan,DOOSAN,DL220-7,DL220-7,,3,Ritchie Salvage,Labelle,FL,"Fargo, ND",12/20/2022,"$64,901.10"," $7,000.00 "," $10,000.00 "," $5,000.00 "," $110,000.00 "," $86,901.10 "," $23,098.90 ",,,,,,$0.00 ,,,,"$64,901.10",,,,$0.00 ,,,2,1,,,1,,,,,,,,,,,
1982,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,2013,Rogator,ROGATOR,1100,RG1100,3167,,DPA,Larwill,IN,"Fargo, ND",12/20/2022,"$38,690.00"," $3,500.00 "," $3,000.00 "," $2,000.00 "," $60,000.00 "," $47,190.00 "," $12,810.00 ",,,,,,$0.00 ,,,,"$38,690.00",,,,$0.00 ,,,1,,,,1,,,,,,,,,,,
1983,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,2013,Rogator,ROGATOR,1300,RG1300,5301,,DPA,Wayland,MI,"Fargo, ND",12/20/2022,"$28,355.00"," $3,500.00 "," $1,000.00 ", $2.00 ," $45,000.00 "," $32,857.00 "," $12,143.00 ",,,,,,$0.00 ,,,,"$28,355.00",,,,$0.00 ,,,1,,,,1,,,,,,,,,,,
1984,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,John Deere,JOHN DEERE,7800,7800,10000,,Putman Auctioneers (HiBid),Colusa,CA,"Fargo, ND",12/20/2022,"$19,250.00"," $3,000.00 ", $750.00 , $500.00 ," $32,500.00 "," $23,500.00 "," $9,000.00 ",,,,,,$0.00 ,,,,"$19,250.00",,,,$0.00 ,,,1,,,,,,,,,,1,,,,,
1985,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,,John Deere,JOHN DEERE,8320RT,8320RT,8407,,Putman Auctioneers (HiBid),Colusa,CA,"Fargo, ND",12/20/2022,"$71,000.00"," $6,000.00 "," $1,000.00 ", $200.00 ," $95,000.00 "," $78,200.00 "," $16,800.00 ",,,,,,$0.00 ,,,,"$71,000.00",,,,$0.00 ,,,1,1,,,,,,,,,,,,,,
1986,Agriculture,Harvester,Agricultural_Equipment,Harvesters - Forage - Self-Propelled,2005,John Deere,JOHN DEERE,7500,7500,1300,,Putman Auctioneers (HiBid),Colusa,CA,"Fargo, ND",12/20/2022,"$55,500.00"," $6,000.00 "," $1,000.00 ", $-   ," $70,000.00 "," $62,500.00 "," $7,500.00 ",,,,,,$0.00 ,,,,"$55,500.00",,,,$0.00 ,,,1,1,,,,,,,,,,,,,,
1987,Trucks,Truck,,,2007,Peterbilt,,379,,,,Steffes,Mt. Pleasant,IA,"Fargo, ND",12/20/2022,"$82,425.00",,,,," $82,425.00 ",  ,,,,,,$0.00 ,,,,"$82,425.00",,,,$0.00 ,,,1,,,,,,,,1,,,,,,,
1988,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2016,Terragator,TERRAGATOR,TG8400B,TG8400B,"3,038",,Mowrey Auction Company (EF),Milford,IL,"Fargo, ND",12/21/2022,"$31,500.00"," $3,000.00 ", $500.00 , $-   ," $55,000.00 "," $35,000.00 "," $20,000.00 ",,,,,,$0.00 ,,,,"$31,500.00",,,,$0.00 ,,,1,,,,1,,,,,,,,,,,
1989,Construction,Telehandler,Construction_Equipment,Wheel Loaders,2003,John Deere,DEERE,3800,3800,"9,992",,BigIron,Vincennes ,IN,"Fargo, ND",12/21/2022,"$45,850.00"," $2,200.00 ", $500.00 , $300.00 ," $62,500.00 "," $48,850.00 "," $13,650.00 ",,,,,,$0.00 ,,,,"$45,850.00",,,,$0.00 ,,,1,,,,,,,,,,1,,,,,
1990,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,2014,Manitou,MANITOU,T840-115PS,MLT840-115 PS,"7,963",,DPA,Portlan,MI,"Fargo, ND",12/20/2022,"$34,185.00"," $2,000.00 ", $500.00 , $-   ," $45,000.00 "," $36,685.00 "," $8,315.00 ",,,,,,$0.00 ,,,,"$34,185.00",,,,$0.00 ,,,2,,,,,,1,1,,,,,,,,
1991,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2010,Ag-Chem,AG-CHEM,8204,TERRAGATOR 8204,"4,550",,DPA,Hope,KS,"Fargo, ND",12/20/2022,"$12,932.00"," $2,500.00 "," $1,000.00 ", $500.00 ," $30,000.00 "," $16,932.00 "," $13,068.00 ",,,,,,$0.00 ,,,,"$12,932.00",,,,$0.00 ,,,2,,,,,,1,1,,,,,,,,
1992,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,2002,Ag-Chem,AG-CHEM,1254,ROGATOR 1254,"1,670",,DPA,Gilman,IL,"Fargo, ND",12/20/2022,"$9,858.00"," $2,500.00 ", $250.00 , $-   ," $25,000.00 "," $12,608.00 "," $12,392.00 ",,,,,,$0.00 ,,,,"$9,858.00",,,,$0.00 ,,,2,,,,,,1,1,,,,,,,,
1993,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Platform,2019,Geringhoff,GERINGHOFF,Truflex Razor 40,TRUFLEX RAZOR 40,0,,Mowrey Auction Company (EF),Milford,IL,"Fargo, ND",12/21/2022,"$56,750.00"," $1,500.00 ", $-   , $-   ," $75,000.00 "," $58,250.00 "," $16,750.00 ",,,,,,$0.00 ,,,,"$56,750.00",,,,$0.00 ,,,2,,,,,,1,1,,,,,,,,
1994,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,2017,19,KUBOTA,M7-171 premium,M7-171 PREMIUM,,3,IAAI,Vancouver,WA,"Fargo, ND",12/21/2022,"$33,254.00"," $4,000.00 "," $5,000.00 "," $4,000.00 "," $60,000.00 "," $46,254.00 "," $13,746.00 ",,,,,,$0.00 ,,,,"$33,254.00",,,,$0.00 ,,,1,1,,,,,,,,,,,,,,
1995,Construction,Wheel Loader,Construction_Equipment,Wheel Loaders,2017,Case,CASE,821G,821G,"5,355",,IronPlanet,Jacksonville,FL,"Fargo, ND",12/22/2022,"$79,800.00"," $7,000.00 "," $2,000.00 "," $5,000.00 "," $115,000.00 "," $93,800.00 "," $21,200.00 ",,,,,,$0.00 ,,,,"$79,800.00",,,,$0.00 ,,,1,,,,1,,,,,,,,,,,
1996,Agriculture,Hay Merger,Agricultural_Equipment,Hay and Forage Equipment - Other,2016,H&S,H & S,TFM2130,TFM2130,0,,Empire Tractor (AT),Batavia,NY,"Fargo, ND",12/22/2022,"$25,400.00"," $6,000.00 ", $300.00 , $-   ," $45,000.00 "," $31,700.00 "," $13,300.00 ",,,,,,$0.00 ,,,,"$25,400.00",,,,$0.00 ,,,2,,,,,,1,1,,,,,,,,
1997,Construction,Excavator,Construction_Equipment,Excavators - Crawler,2014,Doosan,DOOSAN,DX300LC-5,DX300 LC-5,"3,272",,IronPlanet,Humble ,TX,"Dallas, TX",12/22/2022,"$54,522.00"," $1,500.00 "," $1,000.00 ", $-   ," $70,000.00 "," $57,022.00 "," $12,978.00 ",,,,,,$0.00 ,,,,"$54,522.00",,,,$0.00 ,,,1,1,,,,,,,,,,,,,,
1998,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,2020,John Deere,JOHN DEERE,4038,R4038,,3,Copart,Des Moines,IA,"Fargo, ND",12/24/2022,"$26,680.00"," $2,500.00 "," $10,000.00 "," $45,000.00 "," $130,000.00 "," $84,180.00 "," $45,820.00 ",,,,,,$0.00 ,,,,"$26,680.00",,,,$0.00 ,,,1,1,,,,,,,,,,,,,,
1999,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,2012,Case IH,CASE IH,4420,PATRIOT 4420,"5,520",,BigIron,Danville,IN,"Fargo, ND",12/27/2022,"$24,250.00", $-   , $500.00 , $-   ," $27,500.00 "," $24,750.00 "," $2,750.00 ",,,,,,$0.00 ,,,,"$24,250.00",,,,$0.00 ,,,2,,,,,,1,1,,,,,,,,
2000,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2016,Toro,TORO,22327,DINGO TX1000N,"1,053",,IronPlanet,Katy,TX,"Fargo, ND",12/15/2022,"$12,925.00"," $1,000.00 "," $1,000.00 ", $250.00 ," $19,500.00 "," $15,175.00 "," $4,325.00 ",,,,,,$0.00 ,,,,"$12,925.00",,,,$0.00 ,,,2,,,,,,1,1,,,,,,,,
2001,Construction,Loader,,,,Caterpillar,,950k,,"25,600",,Iron Ranch (AT),Lindale,TX,"Fargo, ND",12/29/2022,"$55,800.00"," $5,000.00 ", $-   , $-   , $-   ," $60,800.00 "," $(60,800.00)",,,,,,$0.00 ,,,,"$55,800.00",,,,$0.00 ,,,1,,,,,,,,1,,,,,,,
2002,Construction,Scraper,Construction_Equipment,Scrapers - Pull,,Icon,ICON,821,821,,,IronPlanet,Fayetteville,NC,"Hurricane Mills, TN",12/29/2022,"$16,700.00"," $3,000.00 ", $500.00 , $-   ," $30,000.00 "," $20,200.00 "," $9,800.00 ",,,,,,$0.00 ,,,,"$16,700.00",,,,$0.00 ,,,1,1,,,,,,,,,,,,,,
2003,Construction,Dumper,Construction_Equipment,Dumpers,2020,Bergmann,BERGMANN,C912,C912S,80,,IronPlanet,Concord,NH,"Fargo, ND",12/29/2022,"$107,638.00"," $6,500.00 ", $500.00 , $-   ," $150,000.00 "," $114,638.00 "," $35,362.00 ",,,,,,$0.00 ,,,,"$107,638.00",,,,$0.00 ,,,1,,,,,,,,1,,,,,,,
2004,Agriculture,Combine,Agricultural_Equipment,Harvesters - Combines,2011,Claas,CLAAS,760TT,LEXION 760TT,1754,,Bigiron,Garden City,KS,"Fargo, ND",12/28/2022,"$71,250.00"," $3,200.00 ", $500.00 , $-   ," $99,000.00 "," $74,950.00 "," $24,050.00 ",,,,,,$0.00 ,,,,"$71,250.00",,,,$0.00 ,,,2,,,,,,1,1,,,,,,,,
2005,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Platform,2018,John Deere,JOHN DEERE,635FD,635FD,,,Purple Wave,Hays,KS,"Fargo, ND",12/28/2022,"$45,650.00", $850.00 , $250.00 , $-   ," $55,000.00 "," $46,750.00 "," $8,250.00 ",,,,,,$0.00 ,,,,"$45,650.00",,,,$0.00 ,,,2,,,,,,1,1,,,,,,,,
2006,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Platform,2018,John Deere,JOHN DEERE,635FD,635FD,,,Purple Wave,Hays ,KS,"Fargo, ND",12/28/2022,"$43,450.00", $850.00 , $250.00 , $-   ," $55,000.00 "," $44,550.00 "," $10,450.00 ",,,,,,$0.00 ,,,,"$43,450.00",,,,$0.00 ,,,2,,,,,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,  ,,,,,,$0.00 ,,,,$0.00,,,,$0.00 ,,,,,,,,,,,,,,,,,,
