Stocks,Category,MachineType,InventoryTypeSH,CategorySH,Year,Make,ManufacturerSH,Model,ModelSH,Hours,Condition,Seller,PurchCity,PurchState,DaggerLocation,DatePurchased,PurchPrice, EstFreight , EstLabor , EstParts , EstSalePrice , EstTotalCost , EstProfit ,DateSold,Buyback, Freight , Labor , Parts , TotalRepairCost , ListingFees , BuybackFee ,TotalFees, TotalCOGS ,SaleType, SalePrice ,Profit,ProfitNoLabor,Turnover,ROI,Collab,Jared,Dustin,Quinn,Nash,Gifford,Bunde,Chris,Ethan,Wes,Korey,(Numbers added since switching back to individual),Notes,AuctionEnd,ClosingTime
1814,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,2013,John Deere,JOHN DEERE,6140D,6140D,2784,,Ritchie Bros,Denver,CO,"Fargo, ND",10/5/2022,55046.25,2000,1000,   ,65000,58046.25,6953.75,11/2/2022,,2500,571.5,   ,571.5,,,,58117.75,Auction,54108,-4009.75,-3438.25,28,-6.9,2,,,,,,1,1,,,,,,,
1816,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Platform,2022,Shelbourne Reynolds,SHELBOURNE REYNOLDS,XCV36,XCV36,,,SalvageSale,Stratton,CO,"Fargo, ND",10/5/2022,5610,3000,10000,20000,90000,38610,51390,,,,,,,,,,5610,,,,,,,1,1,,,,,,,,,,,?,,
1817,Construction,Excavator,Construction_Equipment,Excavators - Crawler,2019,Caterpillar,CATERPILLAR,309CR,309 CR,1441,,IronPlanet,Jonesboro,AR,"Fargo, ND",10/6/2022,86638,3000,1000,   ,100000,90638,9362,11/2/2022,,3200,2071.5,175,2246.5,,,,92084.5,Auction,104868,12783.5,14855,27,13.88,1,,,,,,,,1,,,,,,
1818,Construction,Wheel Loader,Construction_Equipment,Wheel Loaders,,Deere,DEERE,644J,644J,3416,,IronPlanet,Midland,TX,"Fargo, ND",10/6/2022,36173.25,5000,10000,10000,70000,61173.25,8826.75,,,4500,,,,,,,40673.25,,,,,,,1,1,,,,,,,,,,,Schedule?,,
1819,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,1998,John Deere,JOHN DEERE,7810,7810,8169,,Machinery Pete,Howe,TX,"Fargo, ND",10/5/2022,36000,1000,2000,1000,45000,40000,5000,,,1500,,,,,,,37500,,,,,,,2,,,,,,1,1,,,,,Incoming,,
1820,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,2012,John Deere,JOHN DEERE,6115D,6115D,1415,,"Wolf River Auction, LLC (EF)",Poplarville,MS,"Fargo, ND",10/8/2022,43260,2400,500,   ,57000,46160,10840,11/23/2022,,1409.62,2266.5,774.7,3041.2,968,,968,48678.82,Auction,52272,3593.18,5859.68,46,7.38,1,,,,,,,,1,,,,,,
1821,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,1996,Caterpillar,CATERPILLAR,CH55,CH55,5149,,North Texas Auction (EF),Stamford,TX,"Dallas, TX",10/8/2022,17595,400,200,   ,27000,18195,8805,11/16/2022,,750,   ,   ,,595,,595,18940,Auction,32832,13892,13892,39,73.35,1,,,,,,,,1,,,,,,2:51 PM
1822,Construction,Crawler Loader,Construction_Equipment,Crawler Loaders,2002,Caterpillar,CATERPILLAR,963C,963C,8367,,Cook Auctions (Level),Clinton,MO,"Fargo, ND",10/10/2022,47000,2800,1500,300,60000,51600,8400,12/8/2022,1,2500,   ,   ,,,732,732,50232,RB Auction,39130,-11102,-11102,59,-22.1,2,,,1,,1,,,,,,,Schedule?,,
1823,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,2000,John Deere,JOHN DEERE,7610,7610,4435,,Cook Auctions (Level),Clinton,MO,"Fargo, ND",10/10/2022,31930,2000,1500,   ,45000,35430,9570,11/9/2022,,1500,2566.5,1044.2,3610.7,746,,746,37786.7,Auction,40284,2497.3,5063.8,30,6.61,2,,,1,,1,,,,,,,,,2:11 PM
1824,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,2001,John Deere,JOHN DEERE,4710,4710,4168,,Machinery Pete,Howe,TX,"Dallas, TX",10/10/2022,18000,500,1000,   ,25000,19500,5500,12/29/2022,,1350,,250,250,495,,495,20095,Auction,20304,209,209,80,1.04,2,,,,,,1,1,,,,,Incoming,,
1825,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Platform,2016,John Deere,JOHN DEERE,640FD,640FD,,,Machinery Pete,Monroe,NC,"Fargo, ND",10/11/2022,31500,3000,   ,   ,50000,34500,15500,11/9/2022,,3150,249,,249,722,,722,35621,Auction,38988,3367,3616,29,9.45,2,,,,,,1,1,,,,,,,11:18 AM
1826,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Platform,2016,John Deere,JOHN DEERE,640FD,640FD,,,Machinery Pete,Monroe,NC,"Fargo, ND",10/11/2022,31500,3000,   ,   ,50000,34500,15500,11/9/2022,,3000,   ,,,712,,712,35212,Auction,38448,3236,3236,29,9.19,2,,,,,,1,1,,,,,,,11:19 AM
1827,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,2007,John Deere,JOHN DEERE,7230 Premium,7230 PREMIUM,5828,,McGrew Equipment Company (EF),Seven Valleys,PA,"Fargo, ND",10/11/2022,42320,3000,1000,   ,57500,46320,11180,11/9/2022,,1775,765,542.91,1307.91,1008,,1008,46410.91,Auction,54432,8021.09,8786.09,29,17.28,2,1,,,1,,,,,,,,,,2:09 PM
1828,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,2006,John Deere,JOHN DEERE,6420,6420,329,,McGrew Equipment Company (EF),Seven Valleys,PA,"Fargo, ND",10/11/2022,31610,2250,500,   ,40000,34360,5640,11/16/2022,,1775,814.5,2842.63,3657.13,930,,930,37972.13,Auction,50220,12247.87,13062.37,36,32.25,2,,,,,,1,1,,,,,,,2:41 PM
1829,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,,Case IH,CASE IH,4020,4020,5213,,Purple Wave,Glasgow,MO,"Fargo, ND",10/12/2022,12100,2600,1500,   ,25000,16200,8800,12/7/2022,,2500,456,   ,456,495,,495,15551,Auction,23868,8317,8773,56,53.48,2,,,,,,1,1,,,,,,,
1830,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,2011,Versatile,VERSATILE,280,280,7184,,Purple Wave,Plainview,TX,"Fargo, ND",10/12/2022,29150,1750,2000,500,50000,33400,16600,11/23/2022,,1750,811.5,22.27,833.77,870,,870,32603.77,Auction,46980,14376.23,15187.73,42,44.09,2,,,,,,1,1,,,,,,,
1831,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,2011,Versatile,VERSATILE,280,280,10133,,Purple Wave,Plainview,TX,"Fargo, ND",10/12/2022,28050,1750,2000,500,42500,32300,10200,11/23/2022,,1750,642,200,842,595,,595,31237,Auction,34020,2783,3425,42,8.91,2,,,,,,1,1,,,,,,,
1832,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,,Versatile,VERSATILE,305,305,11898,,Purple Wave,Plainview,TX,"Fargo, ND",10/12/2022,24200,1750,2000,1000,42500,28950,13550,11/23/2022,,1750,2740.5,1927.62,4668.12,778,,778,31396.12,Auction,42012,10615.88,13356.38,42,33.81,2,,,,,,1,1,,,,,,,
1833,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,1997,Case IH,CASE IH,8950,8950,5359,,Purple Wave,Plainview,TX,"Fargo, ND",10/12/2022,30800,1750,4000,1500,50000,38050,11950,12/7/2022,,1750,3970.5,3176.99,7147.49,975,,975,40672.49,Auction,52596,11923.51,15894.01,56,29.32,2,,,,,,1,1,,,,,,,
1834,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,Challenger,CHALLENGER,MT645B,MT645B,,,Southwest Auction (Level),Howe,TX,"Fargo, ND",10/12/2022,24555,1750,3000,2000,42500,31305,11195,,,1500,,,,,,,26055,,,,,,,2,,,,,,1,1,,,,,Incoming,,
1835,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,2005,Miller,MILLER,Nitro 2200T,NITRO 2200T,2458,,JD Dealership Deal,Hawley,MN,"Hawley, MN",10/13/2022,25000,   ,   ,   ,35000,25000,10000,11/9/2022,,   ,   ,,,736,,736,25736,Auction,39744,14008,14008,27,54.43,2,,,,,,1,1,,,,,,,12:14 PM
1836,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,John Deere,JOHN DEERE,7930,7930,7039,,Henderson Auctions (EF),Livingston,LA,"Fargo, ND",10/13/2022,45200,5000,2000,3000,65000,55200,9800,11/30/2022,,4200,3939,1620.49,5559.49,1424,,1424,56383.49,Auction,76896,20512.51,24451.51,48,36.38,2,,,1,,1,,,,,,,,,
1837,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,2005,John Deere,JOHN DEERE,8420,8420,7003,,Henderson Auctions (EF),Livingston,LA,"Fargo, ND",10/13/2022,42375,5000,2000,4000,65000,53375,11625,11/23/2022,,3525,850.5,   ,850.5,1046,,1046,47796.5,Auction,56484,8687.5,9538,41,18.18,3,,,1,1,1,,,,,,,,,
1838,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,,John Deere,JOHN DEERE,4920,4920,3544,,AuctionTime,Elk City,OK,"Fargo, ND",10/12/2022,34700,4000,2000,3000,55000,43700,11300,11/23/2022,,3600,351,5859.9,6210.9,802,,802,45312.9,Auction,43308,-2004.9,-1653.9,42,-4.42,2,1,,,,,1,,,,,,,,
1839,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,Case IH,CASE IH,MX270,MX270,,,Korey,Lewisburg,TN,"Fargo, ND",10/14/2022,35000,,,,,35000,  ,11/16/2022,,3500,843,   ,843,824,,824,40167,Auction,44496,4329,5172,33,10.78,1,,,,,,,,,,1,,,,2:54 PM
1840,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,2004,Case IH,CASE IH,MX285,MX285,,,Korey,Whiteville,TN,"Fargo, ND",10/14/2022,46500,,,,,46500,  ,11/16/2022,,4300,1780.5,   ,1780.5,1098,,1098,53678.5,Auction,59292,5613.5,7394,33,10.46,1,,,,,,,,,,1,,,,2:55 PM
1841,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,John Deere,JOHN DEERE,4960,4960,,,Korey,Linden,TN,"Fargo, ND",10/14/2022,28500,,,,,28500,  ,11/23/2022,,3000,1092,   ,1092,780,,780,33372,Auction,42120,8748,9840,40,26.21,1,,,,,,,,,,1,,,,
1842,Agriculture,Mower,Agricultural_Equipment,Hay and Forage Equipment - Rotary Mowers,2021,John Deere,JOHN DEERE,R15,R15,,,DeMott Auction (EF),Okeechobee,FL,"Fargo, ND",10/15/2022,12937.5,,,,,12937.5,  ,11/23/2022,,1834,91.5,   ,91.5,495,,495,15358,Auction,17712,2354,2445.5,39,15.33,1,,,,,,,,1,,,,,,
1843,Agriculture,Mower,Agricultural_Equipment,Hay and Forage Equipment - Rotary Mowers,2021,John Deere,JOHN DEERE,R15,R15,,,DeMott Auction (EF),Okeechobee,FL,"Fargo, ND",10/15/2022,12937.5,,,,,12937.5,  ,11/23/2022,,1834,109.5,   ,109.5,495,,495,15376,Auction,17388,2012,2121.5,39,13.09,1,,,,,,,,1,,,,,,
1844,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,Case,CASE IH,Puma 155,PUMA 155,8723,,DeMott Auction (EF),Okeechobee,FL,"Fargo, ND",10/15/2022,27000,,,,,27000,  ,11/16/2022,,1834,5457,105,5562,714,,714,35110,Auction,38556,3446,8903,32,9.81,1,,,,,,,,1,,,,,,2:24 PM
1845,Construction,Wheel Loader,Construction_Equipment,Wheel Loaders,2016,Wacker Neuson,WACKER NEUSON,WL32,WL32,2636,,DPA,Mediapolis,IA,"Fargo, ND",10/18/2022,11660,2000,5000,   ,32000,18660,13340,,,1300,,,,,,,12960,,,,,,,1,,,,1,,,,,,,,,,
1846,Construction,Telehandler,Construction_Equipment,Wheel Loaders,2007,Deere,DEERE,3800,3800,3768,,Korey,Bainbridge,GA,"Fargo, ND",10/18/2022,36000,3500,1500,   ,50000,41000,9000,11/9/2022,,3300,1636.5,294.29,1930.79,1358,,1358,42588.79,Auction,73332,30743.21,32379.71,22,72.19,1,,,,,,,,,,1,,,,1:05 PM
1847,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,,Challenger,CHALLENGER,MT765D,MT765D,791,,HiBid,Salado,TX,"Fargo, ND",10/22/2022,132050,4500,1000,   ,155000,137550,17450,12/7/2022,,5500,258,   ,258,3222,,3222,141030,Auction,173988,32958,33216,46,23.37,1,1,,,,,,,,,,,,,
1848,Agriculture,Tractor,Agricultural_Equipment,Tractors - 40 HP to 99 HP,,Kubota,KUBOTA,L4760,L4760,448,,Lapatofsky Auction LLC (EF),Clifford Township,PA,"Fargo, ND",10/22/2022,33650,1250,1000,   ,40000,35900,4100,11/16/2022,,1300,1884,   ,1884,595,,595,37429,Auction,35316,-2113,-229,25,-5.65,1,,,,,,,,1,,,,,,2:06 PM
1849,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,John Deere,JOHN DEERE,4840,4840,,,Lapatofsky Auction LLC (EF),Clifford Township,PA,"Fargo, ND",10/22/2022,12740,1250,1300,   ,18000,15290,2710,11/23/2022,,1300,766.5,   ,766.5,395,,395,15201.5,Auction,13176,-2025.5,-1259,32,-13.32,1,,,,,,,,1,,,,,,
1850,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,John Deere,JOHN DEERE,6115D,6115D,7051,,Lapatofsky Auction LLC (EF),Clifford Township,PA,"Fargo, ND",10/22/2022,14270,1250,1000,   ,18000,16520,1480,11/23/2022,,1300,   ,   ,,495,,495,16065,Auction,17496,1431,1431,32,8.91,1,,,,,,,,1,,,,,,
1851,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,1995,Ford,FORD,8970,8970,10440,,Korey,Los Olivos,CA,"Fargo, ND",10/25/2022,21700,4900,1500,   ,35000,28100,6900,11/23/2022,,5500,1144.5,   ,1144.5,595,,595,28939.5,Auction,32940,4000.5,5145,29,13.82,1,,,,,,,,,,1,,,,
1852,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,2004,John Deere,JOHN DEERE,7920,7920,8562,,Korey,Hatch,NM,"Fargo, ND",10/25/2022,47500,4000,1000,   ,60000,52500,7500,11/30/2022,,4475,,   ,,1142,,1142,53117,Auction,61668,8551,8551,36,16.1,1,,,,,,,,,,1,,Schedule?,,
1853,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,,Challenger,CHALLENGER,MT755C,MT755C,8400,,Korey,Los Banos,CA,"Fargo, ND",10/25/2022,40000,6000,1500,   ,65000,47500,17500,11/30/2022,,6000,,78,78,1082,,1082,47160,Auction,58428,11268,11268,36,23.89,1,,,,,,,,,,1,,,,
1854,Construction,Excavator,Construction_Equipment,Excavators - Crawler,2021,Kobelco,KOBELCO,SK210 LC-10,SK210 LC-10,,,SalvageSale,Washington,NC,Off-Site,10/26/2022,19251.1,2000,   ,   ,30000,21251.1,8748.9,,,,,,,,,,19251.1,,21550,2298.9,2298.9,,11.94,1,1,,,,,,,,,,,Schedule? Nonrunner,,
1855,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,2004,Challenger,CHALLENGER,MT465B,MT465B,5106,,IronPlanet,Midland,TX,"Fargo, ND",10/27/2022,26212.5,2000,1000,500,37500,29712.5,7787.5,12/7/2022,,2200,927,78,1005,724,,724,30141.5,Auction,39096,8954.5,9881.5,41,29.71,2,,,,,,1,1,,,,,Scheduled,,
1856,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,John Deere,JOHN DEERE,4960,4960,3251,,Iron Bound Auctions (EF),Seminole,TX,"Fargo, ND",10/26/2022,29700,2000,1500,1500,50000,34700,15300,12/7/2022,,2250,178.5,621,799.5,595,,595,33344.5,Auction,32292,-1052.5,-874,42,-3.16,2,,,,,,1,1,,,,,Scheduled,,
1857,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,John Deere,JOHN DEERE,8400,8400,3925,,Iron Bound Auctions (EF),Seminole,TX,"Fargo, ND",10/26/2022,36720,2000,2500,500,50000,41720,8280,12/16/2022,,2200,2157,1958.15,4115.15,762,,762,43797.15,Auction,41148,-2649.15,-492.15,51,-6.05,2,,,,,,1,1,,,,,,,
1858,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,John Deere,JOHN DEERE,4850,4850,5974,,Iron Bound Auctions (EF),Seminole,TX,"Fargo, ND",10/26/2022,21600,2000,2500,800,32500,26900,5600,12/16/2022,,2250,2508,1067,3575,495,,495,27920,Auction,24516,-3404,-896,51,-12.19,2,,,,,,1,1,,,,,Schedule?,,
1859,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,1989,Case IH,CASE IH,7130,7130,5626,,Facebook Marketplace,Marked Tree,AR,"Fargo, ND",10/24/2022,20000,2500,2000,   ,35000,24500,10500,12/30/2022,1,1850,1759.5,744.5,2504,798,595,1393,25747,Auction,43092,17345,19104.5,67,67.37,1,,,,,,,,,,1,,Was sold on 11/23 on auction,,
1860,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,Case IH,CASE IH,7140,7140,5855,,Facebook Marketplace,Marked Tree,AR,"Fargo, ND",10/24/2022,25000,2500,2500,   ,40000,30000,10000,11/16/2022,,1850,1072.5,917.5,1990,736,,736,29576,Auction,39744,10168,11240.5,23,34.38,1,,,,,,,,,,1,,,,2:52 PM
1861,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,Agco,AGCO,RT150,RT150,7334,,AuctionTime,Burley,ID,"Fargo, ND",10/26/2022,28035,1800,2000,   ,39000,31835,7165,11/30/2022,,2400,501,85,586,595,,595,31616,Auction,35100,3484,3985,35,11.02,2,,,,,,1,1,,,,,,,
1862,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Platform,,Honey Bee,HONEY BEE,SP30R,SP30R,,,IronPlanet,McGhee,AR,Off-Site,10/27/2022,440,,,,,440,  ,11/30/2022,,   ,   ,,,295,,295,735,Auction,1296,561,561,34,76.33,1,,,,,,,,1,,,,,,
1863,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,John Deere,JOHN DEERE,4960,4960,,,Bond & Bond Auctioneers llc (EF),Sebastian,TX,"Fargo, ND",10/29/2022,23940,4000,1000,   ,35000,28940,6060,12/16/2022,,4400,75,171,246,595,,595,29181,Auction,30888,1707,1782,48,5.85,1,,,,1,,,,,,,,Incoming,,
1864,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,2003,John Deere,JOHN DEERE,8120,8120,4669,,Bond & Bond Auctioneers llc (EF),Sebastian,TX,"Fargo, ND",10/29/2022,62700,2500,1000,   ,85000,66200,18800,12/7/2022,,2100,697.5,206,903.5,1182,,1182,66885.5,Auction,63828,-3057.5,-2360,39,-4.57,1,,,,1,,,,,,,,,,
1865,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,2003,John Deere,JOHN DEERE,8120,8120,6937,,Bond & Bond Auctioneers llc (EF),Sebastian,TX,"Fargo, ND",10/29/2022,60420,2500,1000,   ,75000,63920,11080,12/7/2022,,2100,1047,955.05,2002.05,1112,,1112,65634.05,Auction,60048,-5586.05,-4539.05,39,-8.51,1,,,,1,,,,,,,,,,
1866,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,2016,John Deere,JOHN DEERE,9570RX,9570RX,3762,,Bidadoo,Sioux City,IA,"Fargo, ND",10/28/2022,235495,2000,,,,237495,  ,,,,,,,,,,235495,,,,,,,,,,,,,,,,,,,,,
1867,Agriculture,Spreader,Agricultural_Equipment,Chemical Applicators - Fertilizer Applicators - Dry,2010,Ag-Chem,AG-CHEM,Rogator 1386,ROGATOR 1386,"2,623",,DPA,Casey,IL,"Fargo, ND",11/1/2022,19186,3250,2000,500,32500,24936,7564,11/30/2022,,3200,433.5,520.74,954.24,495,,495,23835.24,Auction,25056,1220.76,1654.26,29,5.12,2,,,,,,1,1,,,,,,,
1868,Construction,Skidsteer,Construction_Equipment,Skid Steers - Wheel,,Wacker Neuson,WACKER NEUSON,SW28,SW28,,,DPA,Goochland,VA,"Fargo, ND",11/1/2022,3922,2000,2000,1000,15000,8922,6078,,,,,,,,,,3922,,,,,,,1,,,,,,,,1,,,,,,
1869,Agriculture,Spreader,Agricultural_Equipment,Chemical Applicators - Fertilizer Applicators - Dry,2002,Ag-Chem,AG-CHEM,1254C,ROGATOR 1254C,3008,,DPA,Orchard,NE,"Fargo, ND",11/1/2022,9752,1300,2000,500,27500,13552,13948,12/14/2022,,1700,223.5,135,358.5,495,,495,12305.5,Auction,21708,9402.5,9626,43,76.41,2,,,,,,1,1,,,,,,,
1870,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,1984,John Deere,JOHN DEERE,4650,4650,9792,,Entz Aucton & Realty (EF),Hydro,OK,"Fargo, ND",11/1/2022,19950,3000,1000,   ,27500,23950,3550,12/30/2022,1,2695,534,58.39,592.39,495,495,990,24227.39,Auction,21384,-2843.39,-2309.39,59,-11.74,1,,,,,,,,1,,,,,,
1871,Construction,Wheel Loader,Construction_Equipment,Wheel Loaders,2014,Komatsu,KOMATSU,WA320-7,WA320-7,4282,,"Yoder & Frey Auctioneers, Inc (PB)",Kissimmee,FL,"Hurricane Mills, TN",11/2/2022,61574,3500,1000,   ,75000,66074,8926,11/30/2022,,2850,750,100,850,1580,,1580,66854,Auction,85320,18466,19216,28,27.62,1,1,,,,,,,,,,,,,
1872,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,John Deere,JOHN DEERE,7520,7520,2865,,Martin's Auction Services (EF),Shippensburg,PA,"Fargo, ND",11/2/2022,32120,1750,1000,500,60000,35370,24630,11/30/2022,,2250,651,1477.44,2128.44,1024,,1024,37522.44,Auction,55296,17773.56,18424.56,28,47.37,2,,,,,,1,1,,,,,,,
1873,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,John Deere,JOHN DEERE,7700,7700,3203,,Martin's Auction Services (EF),Shippensburg,PA,"Fargo, ND",11/2/2022,31100,1750,1500,1000,41000,35350,5650,12/7/2022,,2250,1554,1637.73,3191.73,724,,724,37265.73,Auction,39096,1830.27,3384.27,35,4.91,2,,,,,,1,1,,,,,,,
1874,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,New Holland,NEW HOLLAND,8970,8970,,,,Wayland,NY,"Fargo, ND",11/2/2022,23500,2000,2000,500,40000,28000,12000,12/7/2022,,2650,1594.5,195,1789.5,595,,595,28534.5,Auction,30672,2137.5,3732,35,7.49,2,,,,,,1,1,,,,,,,
1875,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,New Holland,NEW HOLLAND,8670,8670,,,Martin's Auction Services (EF),Shippensburg,PA,"Fargo, ND",11/2/2022,27500,2000,1000,   ,38000,30500,7500,12/7/2022,,2650,   ,,,595,,595,30745,Auction,29484,-1261,-1261,35,-4.1,2,,,,,,1,1,,,,,,,
1876,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,,John Deere,JOHN DEERE,9300,9300,,,Kibble Equipment,Montevideo,MN,"Comstock, MN",11/2/2022,38500,1200,   ,500,50000,40200,9800,12/16/2022,,1000,,,,1232,,1232,40732,Auction,66528,25796,25796,44,63.33,2,,,,,,1,1,,,,,,,
1877,Construction,Excavator,Construction_Equipment,Excavators - Crawler,2013,Caterpillar,CATERPILLAR,312EL,312EL,6360,,Steffes,Denver,CO,"Fargo, ND",11/3/2022,44000,3500,500,500,60000,48500,11500,11/30/2022,,3100,,,,1084,,1084,48184,Auction,58536,10352,10352,27,21.48,2,,,,,,1,1,,,,,,,
1878,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,2006,John Deere,JOHN DEERE,9520,9520,677,,Ritchie Bros,Humble,TX,"Fargo, ND",11/8/2022,23700,5000,2000,3000,47500,33700,13800,12/30/2022,,8000,900,,900,595,,595,33195,Auction,36828,3633,4533,52,10.94,2,1,,,,,,1,,,,,,,
1879,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,2005,John Deere,JOHN DEERE,6320,6320,108,,McGrew Equipment Company (EF),Seven Valleys,PA,"Fargo, ND",11/8/2022,24215,2000,1000,   ,30000,27215,2785,12/30/2022,,1750,540,111.29,651.29,595,,595,27211.29,Auction,30456,3244.71,3784.71,52,11.92,3,,,,,,1,1,1,,,,,,
1880,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,John Deere,JOHN DEERE,7410,7410,8846,,McGrew Equipment Company (EF),Seven Valleys,PA,"Fargo, ND",11/8/2022,20900,2000,1000,1500,28000,25400,2600,12/16/2022,,1750,,,,495,,495,23145,Auction,25488,2343,2343,38,10.12,3,,,,,,1,1,1,,,,,,
1881,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,1993,John Deere,JOHN DEERE,4960,4960,1441,,Purple Wave,Hays,KS,"Fargo, ND",11/9/2022,32450,1400,1500,2000,45000,37350,7650,11/29/2022,,2100,,2000,2000,,,,36550,Retail,51000,14450,14450,20,39.53,2,,,,,,1,1,,,,,,,
1882,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,1989,John Deere,JOHN DEERE,4955,4955,2052,,Purple Wave,Wichita,KS,"Fargo, ND",11/9/2022,26400,1400,1200,1000,38000,30000,8000,,1,2300,2194.5,1708,3902.5,,,  ,32602.5,,,,,,,2,,,,,,1,1,,,,,,,
1883,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,New Holland,NEW HOLLAND,8970,8970,,,Weeks Auction (Level),Moultrie,GA,"Fargo, ND",11/9/2022,22350,4000,3000,   ,40000,29350,10650,,1,4600,768,,768,,495,495,28213,,,,,,,1,1,,,,,,,,,,,,,
1884,Construction,Excavator,Construction_Equipment,Excavators - Crawler,2018,Deere,DEERE,130G,130G,1565,,Bidadoo,Pompano Beach,FL,"Hurricane Mills, TN",11/8/2022,87585,,,,,87585,  ,12/7/2022,,2350,450,25,475,1792,,1792,92202,Auction,96768,4566,5016,29,4.95,,,,,,,,,,,,,,,
1885,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,John Deere,JOHN DEERE,8320,8320,3172,,Southwest Texas (Level),Howe,TX,"Fargo, ND",11/9/2022,49500,6000,2000,   ,70000,57500,12500,12/7/2022,,3350,   ,565.28,565.28,1186,,1186,54601.28,Auction,64044,9442.72,9442.72,28,17.29,1,1,,,,,,,,,,,,,
1886,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,,Bobcat,BOBCAT,V723,V723,3535,,J.G. Cochran Auctioneers (EF),Boonsboro,MD,"Fargo, ND",11/11/2022,28825,,,,,28825,  ,12/7/2022,,4300,208.5,277.41,485.91,806,,806,34416.91,Auction,43524,9107.09,9315.59,26,26.46,1,,,,,,,,,,1,,,,
