stardDateTime,startDate,startTime,endDateTime,endDate,endTime,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2020-04-02 11:33PM,2020-04-02,11:33PM,2020-04-03 7:34AM,2020-04-03,7:34AM,412,69,25,481,86,248,78
2020-04-04 1:54AM,2020-04-04,1:54AM,2020-04-04 10:54AM,2020-04-04,10:54AM,477,63,33,540,83,316,78
2020-04-04 11:49PM,2020-04-04,11:49PM,2020-04-05 9:15AM,2020-04-05,9:15AM,486,80,36,566,114,333,39
2020-04-06 12:29AM,2020-04-06,12:29AM,2020-04-06 9:27AM,2020-04-06,9:27AM,480,58,39,538,106,297,77
2020-04-07 1:58AM,2020-04-07,1:58AM,2020-04-07 9:36AM,2020-04-07,9:36AM,402,56,33,458,80,246,76
2020-04-08 1:28AM,2020-04-08,1:28AM,2020-04-08 9:13AM,2020-04-08,9:13AM,409,56,27,465,83,260,66
2020-04-09 3:02AM,2020-04-09,3:02AM,2020-04-09 10:11AM,2020-04-09,10:11AM,379,50,21,429,84,230,65
2020-04-10 1:50AM,2020-04-10,1:50AM,2020-04-10 1:18PM,2020-04-10,1:18PM,587,100,35,687,121,376,90
2020-04-11 2:13AM,2020-04-11,2:13AM,2020-04-11 10:20AM,2020-04-11,10:20AM,436,51,33,487,120,217,99
2020-04-12 1:55AM,2020-04-12,1:55AM,2020-04-12 11:59AM,2020-04-12,11:59AM,543,60,39,603,102,376,65
2020-04-13 1:32AM,2020-04-13,1:32AM,2020-04-13 10:33AM,2020-04-13,10:33AM,481,60,31,541,104,278,99
2020-04-14 12:06AM,2020-04-14,12:06AM,2020-04-14 8:33AM,2020-04-14,8:33AM,449,58,32,507,86,263,100
2020-04-15 1:30AM,2020-04-15,1:30AM,2020-04-15 10:25AM,2020-04-15,10:25AM,464,71,32,535,92,282,90
2020-04-16 1:38AM,2020-04-16,1:38AM,2020-04-16 9:54AM,2020-04-16,9:54AM,433,63,24,496,58,297,78
2020-04-17 1:09AM,2020-04-17,1:09AM,2020-04-17 8:59AM,2020-04-17,8:59AM,420,50,26,470,110,237,73
2020-04-18 3:35AM,2020-04-18,3:35AM,2020-04-18 11:18AM,2020-04-18,11:18AM,429,34,26,463,117,265,47
2020-04-19 2:36AM,2020-04-19,2:36AM,2020-04-19 10:38AM,2020-04-19,10:38AM,425,57,30,482,117,230,78
2020-04-20 3:20AM,2020-04-20,3:20AM,2020-04-20 10:06AM,2020-04-20,10:06AM,367,39,24,406,111,187,69
2020-04-21 1:56AM,2020-04-21,1:56AM,2020-04-21 10:56AM,2020-04-21,10:56AM,483,57,25,540,129,286,68
2020-04-22 3:31AM,2020-04-22,3:31AM,2020-04-22 9:15AM,2020-04-22,9:15AM,305,39,18,344,71,167,67
2020-04-23 1:16AM,2020-04-23,1:16AM,2020-04-23 9:30AM,2020-04-23,9:30AM,411,83,25,494,100,233,78
2020-04-24 3:08AM,2020-04-24,3:08AM,2020-04-24 11:27AM,2020-04-24,11:27AM,451,48,23,499,129,226,96
2020-04-25 2:32AM,2020-04-25,2:32AM,2020-04-25 10:45AM,2020-04-25,10:45AM,439,54,28,493,98,279,62
2020-04-26 1:56AM,2020-04-26,1:56AM,2020-04-26 8:43AM,2020-04-26,8:43AM,354,53,24,407,79,189,86
