Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2021-01-09,"1,543",731,0.52,0,"1,386",54,0,0,163
2021-01-10,"1,409",0,0,0,"1,440",0,0,0,0
2021-01-11,"1,429",0,0,0,"1,438",2,0,0,22
2021-01-12,"1,594",938,0.66,1,942,78,0,0,212
2021-01-13,"1,764","4,065",2.87,6,744,108,6,12,431
2021-01-14,"1,705","2,160",1.52,1,885,127,0,0,361
2021-01-15,"2,123","5,441",3.83,2,654,181,16,22,851
2021-01-16,"1,872","2,914",2.05,4,778,159,6,8,589
2021-01-17,"1,540",835,0.59,0,"1,379",61,0,0,167
2021-01-18,"1,903","2,558",1.8,0,"1,232",208,0,0,639
2021-01-19,"2,226","11,201",7.87,20,938,163,18,48,957
2021-01-20,"2,012","6,654",4.63,14,904,200,4,13,752
2021-01-21,"1,933","4,851",3.42,7,738,192,7,8,656
2021-01-22,"1,603","1,062",0.75,0,806,83,0,0,227
2021-01-23,"2,494","4,290",3.02,0,596,270,46,31,"1,305"
2021-01-24,"1,994","2,896",2.04,3,685,197,0,0,668
2021-01-25,"2,157","6,515",4.53,11,782,136,32,28,836
2021-01-26,"1,989","7,146",5.05,11,936,151,12,31,711
2021-01-27,"2,369","10,258",7.23,1,543,247,38,39,"1,213"
2021-01-28,"1,427",173,0.12,0,"1,031",7,0,0,20
2021-01-29,"2,036","5,918",4.17,2,777,219,32,3,821
2021-01-30,"2,253","8,055",5.65,1,933,249,29,25,"1,070"
2021-01-31,"1,772","5,670",3.96,1,"1,325",100,2,13,452
2021-02-01,"1,454",258,0.18,0,917,22,0,0,60
2021-02-02,"2,043","9,506",6.75,19,795,197,12,19,816
2021-02-03,"2,067","8,447",5.97,11,706,173,5,32,789
2021-02-04,"1,492",492,0.35,0,947,32,0,0,93
2021-02-05,"1,954","3,417",2.41,6,743,201,0,0,693
2021-02-06,"1,732","1,680",1.18,0,928,129,0,0,361
2021-02-07,"1,628","1,326",0.93,1,761,77,3,5,269
2021-02-08,"2,138","6,395",4.56,5,646,269,4,12,940
2021-02-09,"1,701","1,815",1.28,0,"1,113",133,0,0,364
2021-02-10,"3,113","15,355",10.75,15,503,298,51,111,"2,058"
2021-02-11,"2,187","9,394",6.65,21,771,226,16,23,970
2021-02-12,"2,080","6,021",4.31,5,706,212,23,13,863
2021-02-13,"1,892","4,457",3.09,1,854,225,0,0,650
2021-02-14,"2,018","5,726",4.04,6,569,288,0,0,837
2021-02-15,"1,674","1,759",1.24,1,982,112,0,0,311
2021-02-16,"2,420","8,819",6.22,13,643,231,36,43,"1,213"
2021-02-17,"2,565","10,272",7.63,1,638,108,70,94,"1,379"
2021-02-18,"2,341","9,998",6.93,8,760,224,24,42,"1,134"
2021-02-19,"1,914","6,653",4.95,7,805,131,8,22,607
2021-02-20,"1,918","4,820",3.44,2,722,138,8,17,577
2021-02-21,"1,872","2,424",1.64,1,829,127,3,10,474
